filename,breed,family
Abyssinian_18,Abyssinian,cat
Abyssinian_180,Abyssinian,cat
Abyssinian_181,Abyssinian,cat
Abyssinian_182,Abyssinian,cat
Abyssinian_183,Abyssinian,cat
Abyssinian_184,Abyssinian,cat
Abyssinian_185,Abyssinian,cat
Abyssinian_19,Abyssinian,cat
Abyssinian_190,Abyssinian,cat
Abyssinian_191,Abyssinian,cat
Abyssinian_192,Abyssinian,cat
Abyssinian_193,Abyssinian,cat
Abyssinian_195,Abyssinian,cat
Abyssinian_196,Abyssinian,cat
Abyssinian_197,Abyssinian,cat
Abyssinian_2,Abyssinian,cat
Abyssinian_20,Abyssinian,cat
Abyssinian_201,Abyssinian,cat
Abyssinian_202,Abyssinian,cat
Abyssinian_204,Abyssinian,cat
Abyssinian_205,Abyssinian,cat
Abyssinian_206,Abyssinian,cat
Abyssinian_207,Abyssinian,cat
Abyssinian_21,Abyssinian,cat
Abyssinian_210,Abyssinian,cat
Abyssinian_212,Abyssinian,cat
Abyssinian_213,Abyssinian,cat
Abyssinian_215,Abyssinian,cat
Abyssinian_216,Abyssinian,cat
Abyssinian_217,Abyssinian,cat
Abyssinian_219,Abyssinian,cat
Abyssinian_22,Abyssinian,cat
Abyssinian_220,Abyssinian,cat
Abyssinian_221,Abyssinian,cat
Abyssinian_223,Abyssinian,cat
Abyssinian_224,Abyssinian,cat
Abyssinian_225,Abyssinian,cat
Abyssinian_226,Abyssinian,cat
Abyssinian_228,Abyssinian,cat
Abyssinian_230,Abyssinian,cat
Abyssinian_232,Abyssinian,cat
Abyssinian_24,Abyssinian,cat
Abyssinian_25,Abyssinian,cat
Abyssinian_26,Abyssinian,cat
Abyssinian_27,Abyssinian,cat
Abyssinian_29,Abyssinian,cat
Abyssinian_3,Abyssinian,cat
Abyssinian_30,Abyssinian,cat
Abyssinian_31,Abyssinian,cat
Abyssinian_32,Abyssinian,cat
Abyssinian_33,Abyssinian,cat
Abyssinian_34,Abyssinian,cat
Abyssinian_36,Abyssinian,cat
Abyssinian_37,Abyssinian,cat
Abyssinian_4,Abyssinian,cat
Abyssinian_40,Abyssinian,cat
Abyssinian_43,Abyssinian,cat
Abyssinian_44,Abyssinian,cat
Abyssinian_45,Abyssinian,cat
Abyssinian_46,Abyssinian,cat
Abyssinian_47,Abyssinian,cat
Abyssinian_48,Abyssinian,cat
Abyssinian_49,Abyssinian,cat
Abyssinian_5,Abyssinian,cat
Abyssinian_50,Abyssinian,cat
Abyssinian_51,Abyssinian,cat
Abyssinian_52,Abyssinian,cat
Abyssinian_54,Abyssinian,cat
Abyssinian_55,Abyssinian,cat
Abyssinian_56,Abyssinian,cat
Abyssinian_57,Abyssinian,cat
Abyssinian_58,Abyssinian,cat
Abyssinian_6,Abyssinian,cat
Abyssinian_60,Abyssinian,cat
Abyssinian_61,Abyssinian,cat
Abyssinian_62,Abyssinian,cat
Abyssinian_63,Abyssinian,cat
Abyssinian_65,Abyssinian,cat
Abyssinian_66,Abyssinian,cat
Abyssinian_67,Abyssinian,cat
Abyssinian_68,Abyssinian,cat
Abyssinian_69,Abyssinian,cat
Abyssinian_7,Abyssinian,cat
Abyssinian_70,Abyssinian,cat
Abyssinian_71,Abyssinian,cat
Abyssinian_72,Abyssinian,cat
Abyssinian_73,Abyssinian,cat
Abyssinian_74,Abyssinian,cat
Abyssinian_75,Abyssinian,cat
Abyssinian_76,Abyssinian,cat
Abyssinian_77,Abyssinian,cat
Abyssinian_78,Abyssinian,cat
Abyssinian_79,Abyssinian,cat
Abyssinian_8,Abyssinian,cat
Abyssinian_80,Abyssinian,cat
Abyssinian_81,Abyssinian,cat
Abyssinian_82,Abyssinian,cat
Abyssinian_83,Abyssinian,cat
Abyssinian_84,Abyssinian,cat
Abyssinian_85,Abyssinian,cat
Abyssinian_86,Abyssinian,cat
Abyssinian_87,Abyssinian,cat
Abyssinian_88,Abyssinian,cat
Abyssinian_89,Abyssinian,cat
Abyssinian_9,Abyssinian,cat
Abyssinian_90,Abyssinian,cat
Abyssinian_91,Abyssinian,cat
Abyssinian_92,Abyssinian,cat
Abyssinian_93,Abyssinian,cat
Abyssinian_94,Abyssinian,cat
Abyssinian_95,Abyssinian,cat
Abyssinian_96,Abyssinian,cat
Abyssinian_97,Abyssinian,cat
Abyssinian_98,Abyssinian,cat
Abyssinian_99,Abyssinian,cat
american_bulldog_10,american bulldog,dog
american_bulldog_100,american bulldog,dog
american_bulldog_101,american bulldog,dog
american_bulldog_102,american bulldog,dog
american_bulldog_103,american bulldog,dog
american_bulldog_104,american bulldog,dog
american_bulldog_105,american bulldog,dog
american_bulldog_106,american bulldog,dog
american_bulldog_107,american bulldog,dog
american_bulldog_108,american bulldog,dog
american_bulldog_109,american bulldog,dog
american_bulldog_11,american bulldog,dog
american_bulldog_110,american bulldog,dog
american_bulldog_111,american bulldog,dog
american_bulldog_112,american bulldog,dog
american_bulldog_113,american bulldog,dog
american_bulldog_114,american bulldog,dog
american_bulldog_115,american bulldog,dog
american_bulldog_116,american bulldog,dog
american_bulldog_117,american bulldog,dog
american_bulldog_118,american bulldog,dog
american_bulldog_119,american bulldog,dog
american_bulldog_12,american bulldog,dog
american_bulldog_120,american bulldog,dog
american_bulldog_121,american bulldog,dog
american_bulldog_122,american bulldog,dog
american_bulldog_123,american bulldog,dog
american_bulldog_124,american bulldog,dog
american_bulldog_125,american bulldog,dog
american_bulldog_126,american bulldog,dog
american_bulldog_127,american bulldog,dog
american_bulldog_128,american bulldog,dog
american_bulldog_129,american bulldog,dog
american_bulldog_13,american bulldog,dog
american_bulldog_130,american bulldog,dog
american_bulldog_131,american bulldog,dog
american_bulldog_132,american bulldog,dog
american_bulldog_133,american bulldog,dog
american_bulldog_134,american bulldog,dog
american_bulldog_135,american bulldog,dog
american_bulldog_136,american bulldog,dog
american_bulldog_137,american bulldog,dog
american_bulldog_138,american bulldog,dog
american_bulldog_139,american bulldog,dog
american_bulldog_14,american bulldog,dog
american_bulldog_140,american bulldog,dog
american_bulldog_141,american bulldog,dog
american_bulldog_142,american bulldog,dog
american_bulldog_143,american bulldog,dog
american_bulldog_144,american bulldog,dog
american_bulldog_146,american bulldog,dog
american_bulldog_147,american bulldog,dog
american_bulldog_148,american bulldog,dog
american_bulldog_149,american bulldog,dog
american_bulldog_15,american bulldog,dog
american_bulldog_150,american bulldog,dog
american_bulldog_151,american bulldog,dog
american_bulldog_152,american bulldog,dog
american_bulldog_153,american bulldog,dog
american_bulldog_158,american bulldog,dog
american_bulldog_16,american bulldog,dog
american_bulldog_161,american bulldog,dog
american_bulldog_164,american bulldog,dog
american_bulldog_166,american bulldog,dog
american_bulldog_167,american bulldog,dog
american_bulldog_168,american bulldog,dog
american_bulldog_169,american bulldog,dog
american_bulldog_171,american bulldog,dog
american_bulldog_172,american bulldog,dog
american_bulldog_173,american bulldog,dog
american_bulldog_174,american bulldog,dog
american_bulldog_175,american bulldog,dog
american_bulldog_176,american bulldog,dog
american_bulldog_177,american bulldog,dog
american_bulldog_178,american bulldog,dog
american_bulldog_179,american bulldog,dog
american_bulldog_18,american bulldog,dog
american_bulldog_180,american bulldog,dog
american_bulldog_181,american bulldog,dog
american_bulldog_182,american bulldog,dog
american_bulldog_183,american bulldog,dog
american_bulldog_184,american bulldog,dog
american_bulldog_185,american bulldog,dog
american_bulldog_186,american bulldog,dog
american_bulldog_187,american bulldog,dog
american_bulldog_188,american bulldog,dog
american_bulldog_189,american bulldog,dog
american_bulldog_19,american bulldog,dog
american_bulldog_190,american bulldog,dog
american_bulldog_191,american bulldog,dog
american_bulldog_192,american bulldog,dog
american_bulldog_193,american bulldog,dog
american_bulldog_194,american bulldog,dog
american_bulldog_196,american bulldog,dog
american_bulldog_197,american bulldog,dog
american_bulldog_198,american bulldog,dog
american_bulldog_199,american bulldog,dog
american_bulldog_2,american bulldog,dog
american_bulldog_20,american bulldog,dog
american_bulldog_200,american bulldog,dog
american_bulldog_201,american bulldog,dog
american_bulldog_202,american bulldog,dog
american_bulldog_203,american bulldog,dog
american_bulldog_205,american bulldog,dog
american_bulldog_207,american bulldog,dog
american_bulldog_208,american bulldog,dog
american_bulldog_209,american bulldog,dog
american_bulldog_21,american bulldog,dog
american_bulldog_211,american bulldog,dog
american_bulldog_212,american bulldog,dog
american_bulldog_214,american bulldog,dog
american_bulldog_216,american bulldog,dog
american_bulldog_217,american bulldog,dog
american_bulldog_218,american bulldog,dog
american_bulldog_22,american bulldog,dog
american_bulldog_220,american bulldog,dog
american_bulldog_221,american bulldog,dog
american_bulldog_224,american bulldog,dog
american_bulldog_23,american bulldog,dog
american_bulldog_24,american bulldog,dog
american_bulldog_25,american bulldog,dog
american_bulldog_26,american bulldog,dog
american_bulldog_27,american bulldog,dog
american_bulldog_28,american bulldog,dog
american_bulldog_29,american bulldog,dog
american_bulldog_3,american bulldog,dog
american_bulldog_30,american bulldog,dog
american_bulldog_31,american bulldog,dog
american_bulldog_32,american bulldog,dog
american_bulldog_33,american bulldog,dog
american_bulldog_34,american bulldog,dog
american_bulldog_35,american bulldog,dog
american_bulldog_36,american bulldog,dog
american_bulldog_37,american bulldog,dog
american_bulldog_38,american bulldog,dog
american_bulldog_39,american bulldog,dog
american_bulldog_40,american bulldog,dog
american_bulldog_41,american bulldog,dog
american_bulldog_42,american bulldog,dog
american_bulldog_43,american bulldog,dog
american_bulldog_44,american bulldog,dog
american_bulldog_45,american bulldog,dog
american_bulldog_46,american bulldog,dog
american_bulldog_47,american bulldog,dog
american_bulldog_48,american bulldog,dog
american_bulldog_49,american bulldog,dog
american_bulldog_5,american bulldog,dog
american_bulldog_50,american bulldog,dog
american_bulldog_51,american bulldog,dog
american_bulldog_52,american bulldog,dog
american_bulldog_53,american bulldog,dog
american_bulldog_54,american bulldog,dog
american_bulldog_55,american bulldog,dog
american_bulldog_56,american bulldog,dog
american_bulldog_57,american bulldog,dog
american_bulldog_58,american bulldog,dog
american_bulldog_59,american bulldog,dog
american_bulldog_6,american bulldog,dog
american_bulldog_60,american bulldog,dog
american_bulldog_61,american bulldog,dog
american_bulldog_62,american bulldog,dog
american_bulldog_63,american bulldog,dog
american_bulldog_64,american bulldog,dog
american_bulldog_65,american bulldog,dog
american_bulldog_66,american bulldog,dog
american_bulldog_67,american bulldog,dog
american_bulldog_68,american bulldog,dog
american_bulldog_69,american bulldog,dog
american_bulldog_7,american bulldog,dog
american_bulldog_70,american bulldog,dog
american_bulldog_71,american bulldog,dog
american_bulldog_72,american bulldog,dog
american_bulldog_73,american bulldog,dog
american_bulldog_74,american bulldog,dog
american_bulldog_75,american bulldog,dog
american_bulldog_76,american bulldog,dog
american_bulldog_77,american bulldog,dog
american_bulldog_78,american bulldog,dog
american_bulldog_79,american bulldog,dog
american_bulldog_8,american bulldog,dog
american_bulldog_80,american bulldog,dog
american_bulldog_81,american bulldog,dog
american_bulldog_82,american bulldog,dog
american_bulldog_83,american bulldog,dog
american_bulldog_84,american bulldog,dog
american_bulldog_85,american bulldog,dog
american_bulldog_86,american bulldog,dog
american_bulldog_87,american bulldog,dog
american_bulldog_89,american bulldog,dog
american_bulldog_9,american bulldog,dog
american_bulldog_90,american bulldog,dog
american_bulldog_91,american bulldog,dog
american_bulldog_92,american bulldog,dog
american_bulldog_93,american bulldog,dog
american_bulldog_94,american bulldog,dog
american_bulldog_95,american bulldog,dog
american_bulldog_96,american bulldog,dog
american_bulldog_97,american bulldog,dog
american_bulldog_98,american bulldog,dog
american_bulldog_99,american bulldog,dog
american_pit_bull_terrier_1,american pit bull terrier,dog
american_pit_bull_terrier_10,american pit bull terrier,dog
american_pit_bull_terrier_100,american pit bull terrier,dog
american_pit_bull_terrier_101,american pit bull terrier,dog
american_pit_bull_terrier_102,american pit bull terrier,dog
american_pit_bull_terrier_103,american pit bull terrier,dog
american_pit_bull_terrier_104,american pit bull terrier,dog
american_pit_bull_terrier_105,american pit bull terrier,dog
american_pit_bull_terrier_106,american pit bull terrier,dog
american_pit_bull_terrier_107,american pit bull terrier,dog
american_pit_bull_terrier_108,american pit bull terrier,dog
american_pit_bull_terrier_109,american pit bull terrier,dog
american_pit_bull_terrier_11,american pit bull terrier,dog
american_pit_bull_terrier_110,american pit bull terrier,dog
american_pit_bull_terrier_111,american pit bull terrier,dog
american_pit_bull_terrier_112,american pit bull terrier,dog
american_pit_bull_terrier_113,american pit bull terrier,dog
american_pit_bull_terrier_114,american pit bull terrier,dog
american_pit_bull_terrier_115,american pit bull terrier,dog
american_pit_bull_terrier_116,american pit bull terrier,dog
american_pit_bull_terrier_117,american pit bull terrier,dog
american_pit_bull_terrier_118,american pit bull terrier,dog
american_pit_bull_terrier_119,american pit bull terrier,dog
american_pit_bull_terrier_12,american pit bull terrier,dog
american_pit_bull_terrier_120,american pit bull terrier,dog
american_pit_bull_terrier_121,american pit bull terrier,dog
american_pit_bull_terrier_122,american pit bull terrier,dog
american_pit_bull_terrier_123,american pit bull terrier,dog
american_pit_bull_terrier_124,american pit bull terrier,dog
american_pit_bull_terrier_125,american pit bull terrier,dog
american_pit_bull_terrier_126,american pit bull terrier,dog
american_pit_bull_terrier_127,american pit bull terrier,dog
american_pit_bull_terrier_128,american pit bull terrier,dog
american_pit_bull_terrier_129,american pit bull terrier,dog
american_pit_bull_terrier_13,american pit bull terrier,dog
american_pit_bull_terrier_130,american pit bull terrier,dog
american_pit_bull_terrier_131,american pit bull terrier,dog
american_pit_bull_terrier_132,american pit bull terrier,dog
american_pit_bull_terrier_133,american pit bull terrier,dog
american_pit_bull_terrier_134,american pit bull terrier,dog
american_pit_bull_terrier_135,american pit bull terrier,dog
american_pit_bull_terrier_136,american pit bull terrier,dog
american_pit_bull_terrier_137,american pit bull terrier,dog
american_pit_bull_terrier_138,american pit bull terrier,dog
american_pit_bull_terrier_139,american pit bull terrier,dog
american_pit_bull_terrier_14,american pit bull terrier,dog
american_pit_bull_terrier_140,american pit bull terrier,dog
american_pit_bull_terrier_141,american pit bull terrier,dog
american_pit_bull_terrier_142,american pit bull terrier,dog
american_pit_bull_terrier_143,american pit bull terrier,dog
american_pit_bull_terrier_144,american pit bull terrier,dog
american_pit_bull_terrier_145,american pit bull terrier,dog
american_pit_bull_terrier_146,american pit bull terrier,dog
american_pit_bull_terrier_147,american pit bull terrier,dog
american_pit_bull_terrier_148,american pit bull terrier,dog
american_pit_bull_terrier_149,american pit bull terrier,dog
american_pit_bull_terrier_15,american pit bull terrier,dog
american_pit_bull_terrier_150,american pit bull terrier,dog
american_pit_bull_terrier_151,american pit bull terrier,dog
american_pit_bull_terrier_152,american pit bull terrier,dog
american_pit_bull_terrier_153,american pit bull terrier,dog
american_pit_bull_terrier_154,american pit bull terrier,dog
american_pit_bull_terrier_155,american pit bull terrier,dog
american_pit_bull_terrier_156,american pit bull terrier,dog
american_pit_bull_terrier_157,american pit bull terrier,dog
american_pit_bull_terrier_158,american pit bull terrier,dog
american_pit_bull_terrier_159,american pit bull terrier,dog
american_pit_bull_terrier_16,american pit bull terrier,dog
american_pit_bull_terrier_160,american pit bull terrier,dog
american_pit_bull_terrier_161,american pit bull terrier,dog
american_pit_bull_terrier_162,american pit bull terrier,dog
american_pit_bull_terrier_163,american pit bull terrier,dog
american_pit_bull_terrier_164,american pit bull terrier,dog
american_pit_bull_terrier_165,american pit bull terrier,dog
american_pit_bull_terrier_166,american pit bull terrier,dog
american_pit_bull_terrier_167,american pit bull terrier,dog
american_pit_bull_terrier_168,american pit bull terrier,dog
american_pit_bull_terrier_169,american pit bull terrier,dog
american_pit_bull_terrier_17,american pit bull terrier,dog
american_pit_bull_terrier_170,american pit bull terrier,dog
american_pit_bull_terrier_171,american pit bull terrier,dog
american_pit_bull_terrier_172,american pit bull terrier,dog
american_pit_bull_terrier_173,american pit bull terrier,dog
american_pit_bull_terrier_174,american pit bull terrier,dog
american_pit_bull_terrier_175,american pit bull terrier,dog
american_pit_bull_terrier_176,american pit bull terrier,dog
american_pit_bull_terrier_177,american pit bull terrier,dog
american_pit_bull_terrier_178,american pit bull terrier,dog
american_pit_bull_terrier_179,american pit bull terrier,dog
american_pit_bull_terrier_18,american pit bull terrier,dog
american_pit_bull_terrier_180,american pit bull terrier,dog
american_pit_bull_terrier_181,american pit bull terrier,dog
american_pit_bull_terrier_182,american pit bull terrier,dog
american_pit_bull_terrier_183,american pit bull terrier,dog
american_pit_bull_terrier_184,american pit bull terrier,dog
american_pit_bull_terrier_185,american pit bull terrier,dog
american_pit_bull_terrier_186,american pit bull terrier,dog
american_pit_bull_terrier_187,american pit bull terrier,dog
american_pit_bull_terrier_188,american pit bull terrier,dog
american_pit_bull_terrier_189,american pit bull terrier,dog
american_pit_bull_terrier_19,american pit bull terrier,dog
american_pit_bull_terrier_190,american pit bull terrier,dog
american_pit_bull_terrier_191,american pit bull terrier,dog
american_pit_bull_terrier_192,american pit bull terrier,dog
american_pit_bull_terrier_193,american pit bull terrier,dog
american_pit_bull_terrier_194,american pit bull terrier,dog
american_pit_bull_terrier_195,american pit bull terrier,dog
american_pit_bull_terrier_196,american pit bull terrier,dog
american_pit_bull_terrier_197,american pit bull terrier,dog
american_pit_bull_terrier_198,american pit bull terrier,dog
american_pit_bull_terrier_199,american pit bull terrier,dog
american_pit_bull_terrier_2,american pit bull terrier,dog
american_pit_bull_terrier_20,american pit bull terrier,dog
american_pit_bull_terrier_200,american pit bull terrier,dog
american_pit_bull_terrier_201,american pit bull terrier,dog
american_pit_bull_terrier_202,american pit bull terrier,dog
american_pit_bull_terrier_203,american pit bull terrier,dog
american_pit_bull_terrier_204,american pit bull terrier,dog
american_pit_bull_terrier_21,american pit bull terrier,dog
american_pit_bull_terrier_22,american pit bull terrier,dog
american_pit_bull_terrier_23,american pit bull terrier,dog
american_pit_bull_terrier_24,american pit bull terrier,dog
american_pit_bull_terrier_25,american pit bull terrier,dog
american_pit_bull_terrier_26,american pit bull terrier,dog
american_pit_bull_terrier_27,american pit bull terrier,dog
american_pit_bull_terrier_28,american pit bull terrier,dog
american_pit_bull_terrier_29,american pit bull terrier,dog
american_pit_bull_terrier_30,american pit bull terrier,dog
american_pit_bull_terrier_31,american pit bull terrier,dog
american_pit_bull_terrier_32,american pit bull terrier,dog
american_pit_bull_terrier_33,american pit bull terrier,dog
american_pit_bull_terrier_35,american pit bull terrier,dog
american_pit_bull_terrier_36,american pit bull terrier,dog
american_pit_bull_terrier_37,american pit bull terrier,dog
american_pit_bull_terrier_38,american pit bull terrier,dog
american_pit_bull_terrier_39,american pit bull terrier,dog
american_pit_bull_terrier_4,american pit bull terrier,dog
american_pit_bull_terrier_40,american pit bull terrier,dog
american_pit_bull_terrier_41,american pit bull terrier,dog
american_pit_bull_terrier_42,american pit bull terrier,dog
american_pit_bull_terrier_43,american pit bull terrier,dog
american_pit_bull_terrier_44,american pit bull terrier,dog
american_pit_bull_terrier_45,american pit bull terrier,dog
american_pit_bull_terrier_46,american pit bull terrier,dog
american_pit_bull_terrier_47,american pit bull terrier,dog
american_pit_bull_terrier_48,american pit bull terrier,dog
american_pit_bull_terrier_49,american pit bull terrier,dog
american_pit_bull_terrier_5,american pit bull terrier,dog
american_pit_bull_terrier_50,american pit bull terrier,dog
american_pit_bull_terrier_51,american pit bull terrier,dog
american_pit_bull_terrier_52,american pit bull terrier,dog
american_pit_bull_terrier_53,american pit bull terrier,dog
american_pit_bull_terrier_54,american pit bull terrier,dog
american_pit_bull_terrier_55,american pit bull terrier,dog
american_pit_bull_terrier_56,american pit bull terrier,dog
american_pit_bull_terrier_57,american pit bull terrier,dog
american_pit_bull_terrier_58,american pit bull terrier,dog
american_pit_bull_terrier_59,american pit bull terrier,dog
american_pit_bull_terrier_6,american pit bull terrier,dog
american_pit_bull_terrier_60,american pit bull terrier,dog
american_pit_bull_terrier_61,american pit bull terrier,dog
american_pit_bull_terrier_62,american pit bull terrier,dog
american_pit_bull_terrier_63,american pit bull terrier,dog
american_pit_bull_terrier_64,american pit bull terrier,dog
american_pit_bull_terrier_65,american pit bull terrier,dog
american_pit_bull_terrier_66,american pit bull terrier,dog
american_pit_bull_terrier_67,american pit bull terrier,dog
american_pit_bull_terrier_68,american pit bull terrier,dog
american_pit_bull_terrier_69,american pit bull terrier,dog
american_pit_bull_terrier_7,american pit bull terrier,dog
american_pit_bull_terrier_70,american pit bull terrier,dog
american_pit_bull_terrier_71,american pit bull terrier,dog
american_pit_bull_terrier_72,american pit bull terrier,dog
american_pit_bull_terrier_73,american pit bull terrier,dog
american_pit_bull_terrier_74,american pit bull terrier,dog
american_pit_bull_terrier_75,american pit bull terrier,dog
american_pit_bull_terrier_76,american pit bull terrier,dog
american_pit_bull_terrier_77,american pit bull terrier,dog
american_pit_bull_terrier_78,american pit bull terrier,dog
american_pit_bull_terrier_79,american pit bull terrier,dog
american_pit_bull_terrier_8,american pit bull terrier,dog
american_pit_bull_terrier_80,american pit bull terrier,dog
american_pit_bull_terrier_81,american pit bull terrier,dog
american_pit_bull_terrier_82,american pit bull terrier,dog
american_pit_bull_terrier_84,american pit bull terrier,dog
american_pit_bull_terrier_86,american pit bull terrier,dog
american_pit_bull_terrier_87,american pit bull terrier,dog
american_pit_bull_terrier_88,american pit bull terrier,dog
american_pit_bull_terrier_89,american pit bull terrier,dog
american_pit_bull_terrier_9,american pit bull terrier,dog
american_pit_bull_terrier_90,american pit bull terrier,dog
american_pit_bull_terrier_91,american pit bull terrier,dog
american_pit_bull_terrier_92,american pit bull terrier,dog
american_pit_bull_terrier_93,american pit bull terrier,dog
american_pit_bull_terrier_94,american pit bull terrier,dog
american_pit_bull_terrier_95,american pit bull terrier,dog
american_pit_bull_terrier_96,american pit bull terrier,dog
american_pit_bull_terrier_97,american pit bull terrier,dog
american_pit_bull_terrier_98,american pit bull terrier,dog
american_pit_bull_terrier_99,american pit bull terrier,dog
basset_hound_1,basset hound,dog
basset_hound_10,basset hound,dog
basset_hound_100,basset hound,dog
basset_hound_101,basset hound,dog
basset_hound_102,basset hound,dog
basset_hound_103,basset hound,dog
basset_hound_104,basset hound,dog
basset_hound_105,basset hound,dog
basset_hound_106,basset hound,dog
basset_hound_107,basset hound,dog
basset_hound_108,basset hound,dog
basset_hound_109,basset hound,dog
basset_hound_11,basset hound,dog
basset_hound_110,basset hound,dog
basset_hound_111,basset hound,dog
basset_hound_112,basset hound,dog
basset_hound_113,basset hound,dog
basset_hound_114,basset hound,dog
basset_hound_115,basset hound,dog
basset_hound_116,basset hound,dog
basset_hound_117,basset hound,dog
basset_hound_118,basset hound,dog
basset_hound_119,basset hound,dog
basset_hound_12,basset hound,dog
basset_hound_120,basset hound,dog
basset_hound_121,basset hound,dog
basset_hound_122,basset hound,dog
basset_hound_123,basset hound,dog
basset_hound_124,basset hound,dog
basset_hound_125,basset hound,dog
basset_hound_126,basset hound,dog
basset_hound_127,basset hound,dog
basset_hound_128,basset hound,dog
basset_hound_129,basset hound,dog
basset_hound_13,basset hound,dog
basset_hound_130,basset hound,dog
basset_hound_131,basset hound,dog
basset_hound_132,basset hound,dog
basset_hound_133,basset hound,dog
basset_hound_134,basset hound,dog
basset_hound_135,basset hound,dog
basset_hound_136,basset hound,dog
basset_hound_137,basset hound,dog
basset_hound_138,basset hound,dog
basset_hound_139,basset hound,dog
basset_hound_14,basset hound,dog
basset_hound_140,basset hound,dog
basset_hound_141,basset hound,dog
basset_hound_142,basset hound,dog
basset_hound_143,basset hound,dog
basset_hound_144,basset hound,dog
basset_hound_145,basset hound,dog
basset_hound_146,basset hound,dog
basset_hound_147,basset hound,dog
basset_hound_148,basset hound,dog
basset_hound_149,basset hound,dog
basset_hound_15,basset hound,dog
basset_hound_150,basset hound,dog
basset_hound_151,basset hound,dog
basset_hound_152,basset hound,dog
basset_hound_153,basset hound,dog
basset_hound_154,basset hound,dog
basset_hound_155,basset hound,dog
basset_hound_156,basset hound,dog
basset_hound_157,basset hound,dog
basset_hound_158,basset hound,dog
basset_hound_159,basset hound,dog
basset_hound_16,basset hound,dog
basset_hound_160,basset hound,dog
basset_hound_161,basset hound,dog
basset_hound_162,basset hound,dog
basset_hound_163,basset hound,dog
basset_hound_164,basset hound,dog
basset_hound_165,basset hound,dog
basset_hound_166,basset hound,dog
basset_hound_167,basset hound,dog
basset_hound_168,basset hound,dog
basset_hound_169,basset hound,dog
basset_hound_17,basset hound,dog
basset_hound_170,basset hound,dog
basset_hound_171,basset hound,dog
basset_hound_172,basset hound,dog
basset_hound_173,basset hound,dog
basset_hound_174,basset hound,dog
basset_hound_175,basset hound,dog
basset_hound_176,basset hound,dog
